Model,Make,Model,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel,Fuel_Consumption,,CO2_Emissions,CO2,Smog
2023,Dodge,Challenger Widebody (MDS),Mid-size,6.4,8,A8,Z,15.9,9.6,307,4,1
2023,Dodge,Challenger Widebody,Mid-size,6.4,8,M6,Z,16.7,10.4,325,3,1
2023,Dodge,Challenger SRT Hellcat,Mid-size,6.2,8,A8,Z,17.6,10.7,339,3,1
2023,Dodge,Challenger SRT Hellcat,Mid-size,6.2,8,M6,Z,18.1,11.4,352,3,1
2023,Dodge,Challenger SRT Hellcat Widebody,Mid-size,6.2,8,A8,Z,18.6,11.4,359,2,1
2023,Dodge,Challenger SRT Hellcat Widebody,Mid-size,6.2,8,M6,Z,18.1,11.4,352,3,1
2023,Dodge,Charger,Full-size,3.6,6,A8,X,12.4,7.8,242,5,5
2023,Dodge,Charger (MDS),Full-size,5.7,8,A8,X,14.7,9.4,289,4,3
2023,Dodge,Charger (MDS),Full-size,6.4,8,A8,Z,15.9,9.6,307,4,1
2023,Dodge,Charger AWD,Full-size,3.6,6,A8,X,12.8,8.7,258,4,5
2023,Dodge,Charger Widebody (MDS),Full-size,6.4,8,A8,Z,15.9,9.6,307,4,1
2023,Dodge,Charger SRT Hellcat Widebody,Full-size,6.2,8,A8,Z,19,11.5,368,2,1
2023,Dodge,Durango AWD,SUV: Standard,3.6,6,A8,X,13,9.4,266,4,7
2023,Dodge,Durango AWD,SUV: Standard,5.7,8,A8,X,16.7,10.9,331,3,5
2023,Dodge,Durango AWD SRT,SUV: Standard,6.4,8,A8,Z,18.3,12.2,363,2,1
2023,Dodge,Durango AWD SRT Hellcat,SUV: Standard,6.2,8,A8,Z,20.5,13.8,410,1,1
2023,Dodge,Hornet AWD,SUV: Small,2,4,A9,X,11.2,8.2,231,5,7
2023,FIAT,500X AWD,SUV: Small,1.3,4,A9,X,10,7.9,221,5,6
2023,Ford,Bronco 4WD,SUV: Small,2.3,4,AS10,X,12.1,11.1,273,4,5
2023,Ford,Bronco 4WD,SUV: Small,2.3,4,M7,X,11.9,11.2,272,4,5
2023,Ford,Bronco 4WD,SUV: Small,2.7,6,AS10,X,12.5,11.5,283,4,5
2023,Ford,Bronco Badlands 4WD,SUV: Small,2.3,4,AS10,X,13.8,13.8,324,3,5
2023,Ford,Bronco Badlands 4WD,SUV: Small,2.3,4,M7,X,14.7,13.8,336,3,5
2023,Ford,Bronco Badlands 4WD,SUV: Small,2.7,6,AS10,X,14.1,14.1,331,3,5
2023,Ford,Bronco Black Diamond 4WD,SUV: Small,2.3,4,AS10,X,13.1,13.1,308,4,5
2023,Ford,Bronco Black Diamond 4WD,SUV: Small,2.3,4,M7,X,14.7,13.1,329,3,5
2023,Ford,Bronco Black Diamond 4WD,SUV: Small,2.7,6,AS10,X,13.1,13.1,308,4,5
2023,Ford,Bronco Raptor 4WD,SUV: Standard,3,6,AS10,X,15.7,14.8,358,2,5
2023,Ford,Bronco Sasquatch 4WD,SUV: Small,2.3,4,AS10,X,13.1,13.8,314,4,5
2023,Ford,Bronco Sasquatch 4WD,SUV: Small,2.3,4,M7,X,14.7,13.1,329,3,5
2023,Ford,Bronco Sasquatch 4WD,SUV: Small,2.7,6,AS10,X,14.1,14.1,331,3,5
2023,Ford,Bronco Sport 4WD,SUV: Small,1.5,3,A8,X,9.3,8.4,209,5,7
2023,Ford,Bronco Sport 4WD,SUV: Small,2,4,AS8,X,11.1,9,240,5,6
2023,Ford,Edge AWD,SUV: Small,2,4,A8,X,11.6,8.5,239,5,6
2023,Ford,Edge AWD,SUV: Small,2,4,AS8,X,11.5,8.4,238,5,6
2023,Ford,Edge AWD,SUV: Small,2.7,6,AS8,X,12.7,9.3,262,4,6
2023,Ford,Escape,SUV: Small,1.5,3,A8,X,8.9,6.9,188,6,8
2023,Ford,Escape AWD,SUV: Small,1.5,3,A8,X,9.2,7.4,197,6,8
2023,Ford,Escape AWD,SUV: Small,2,4,A8,X,10.2,7.6,211,5,7
2023,Ford,Escape Hybrid,SUV: Small,2.5,4,AV,X,5.6,6.5,140,7,8
2023,Ford,Escape Hybrid AWD,SUV: Small,2.5,4,AV,X,5.6,6.5,140,7,8
2023,Ford,Expedition 4X4,SUV: Standard,3.5,6,AS10,X,14.7,10.6,302,4,6
2023,Ford,Expedition 4X4 (Without Stop-Start),SUV: Standard,3.5,6,AS10,X,15.4,11.2,318,3,6
